hedge,sentence,usage_a,usage_b,gold,hedge_gold
"poco","Estimado José Manuel Rodríguez Pardo: Yo mismo hasta hace <strong>poco</strong> tiempo demonizaba a Franco imputándole la autoría de todos los males.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"ocasionalmente","Ha de haber sido entre 1976 y 1978, porque la fórmula desempeñó una función ideológica importante en la creación del Estado de las Autonomías: una parte de las clases políticas vascas y catalanas se sentían más cómodas en un Estado, aunque fuese <strong>ocasionalmente</strong> español, que en España.","Ocasionalmente visito a mis tíos en España.","Otro",FALSE,FALSE
"creo","No <strong>creo</strong> que los latinos, los hispanos que viven en los EEUU, a pesar de ser muy bravos luchadores por sus derechos (laborales, sociales o incluso por supuesto políticos), se vayan a convertir en defensores de un socialismo como el que se parece vincular, teóricamente al menos, con el materialismo filosófico, a no ser que se parezca al socialismo de un estado de Bienestar a la EEUU que no es ya sostenible en este momento.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"poco","El adjetivo éste de ""quejumbroso"" que utiliza Rodríguez Pardo me parece <strong>poco</strong> afortunado.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"quiza","4. Su definición de literatura es la que yo doy del manejo del fuego, salvo y <strong>quiza</strong> en esto sea yo el que debe ser corregido por lo de no incluir mímesis.","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"algo","Droga que <strong>algo</strong> queda.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"por decir algo","Molina no «desvía la cuestión del Telos», otra cosa es que Vega no quiera «profundizar, <strong>por decir algo</strong>».","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"sugiero","Si lo que quieren es ponerse a parir el uno al otro, les <strong>sugiero</strong> que no lo hagan en este foro, y si lo hacen por privado, luego no vengan a publicarlo.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"algo","La que en extensión y población es <strong>algo</strong> así como la mitad de España y mucho más pobre en recursos de todo tipo.","Su salud es algo delicada. (se desconoce el grado)","Vi que algo se estaba moviendo. (se conoce la situación, no necesariamente los detalles)",FALSE,FALSE
"practicamente","El aluminio se encuentra en <strong>practicamente</strong> todas partes.","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"quiza","Si acabas aborreciéndolo por las interpretaciones que se hagan de su pensamiento demostrarías ser poco sensato, pero a tu metodología <strong>quiza</strong> eso no le preocupe).","Quizá sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"de repente","Luego, mi afición a darle al boli (tecla), hizo que saliera alguna cosa más y, <strong>de repente</strong>, me vino a la mente la ocurrencia de Zapatero que fue objeto de alguna mofa entre algunos sarcásticos amiguetes.","De repente sentí muchas ganas de jugar futbol.","Otro",FALSE,FALSE
"podria","Una Junta Militar <strong>podria</strong> verse llevada a fusilar a unos cuantos malandrines antiespañoles para disuadir al resto.","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"practicamente","Por no decir, la recurrencia al mito de la izquierda en Nicaragua y ahora ( aunque sin fuerza ya <strong>practicamente</strong>) en Chiapas...","La película es prácticamente una parodia.","Otro",FALSE,FALSE
"debe","""están reproduciendo prácticamente el modelo de «imperio depredador» tal como lo define Bueno: respetar las distintas civilizaciones en la medida en que no pongan impedimentos al desarrollo de nuestro comercio internacional, por ello no <strong>debe</strong> importar demasiado el uso de la diplomacia, y el aliarse con civilizaciones contrarias si hay un enemigo común significativo que obstaculice nuestro comercio (la URSS, Yugoslavia, Irak, Cuba, Libia, Venezuela, &amp;c.)","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"bastante","En referencia a la concentración de las cajas que están previstos en torno a los núcleos de las naciones fraccionarias empiezan a aparecer informaciones ya <strong>bastante</strong> claras.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"a veces","Lo que queda de España es mucho gracias a esas medidas, y olvidar los logros de esta izquierda hispana sería dejar de ser materialistas y convertirnos en romanticistas, quedarnos en una nostalgia acrítica del Antiguo Régimen, hacia la que <strong>a veces</strong> bascula Pío Moa en sus obras, aun siendo pecado menudo respecto a lo que cuenta en ellas.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"probablemente ","¿No sabía él, por cierto, que también estaban invitados esos representantes del PSOE que no respondieron a ninguna de las invitaciones que se les hizo ni por activa ni por pasiva, que muy <strong>probablemente </strong>se hubieran solidarizado con eĺ,? ¿No estaremos, al ""alabar su valentía"" dándole motivos para que piense que tenía razón cuando se prevenía a sí mismo de que podría recibir algún ""improperio""?","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"espero","Y eso me parece muy sano y <strong>espero</strong> que mantengan así y persigan a los que los quieren matar hasta que acaben con el último.","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"encuentro","En el último mensaje de Santiago <strong>encuentro</strong> una pregunta que no se si ha sido escrita por él, como todo parece indicar, o se trata en cambio de un error... Me da igual pues eso nada cambia:","Lo encuentro un poco cuestionable. (juicio)","Me encuentro en casa de María. (ubicación)",FALSE,FALSE
"deberia","Si no es esa su finalidad, la política le <strong>deberia</strong> estar prohibida, vetada.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas.",FALSE,FALSE
"alguno","Como además escribo esto sólo en mi propio nombre, y sin ánimo de representar a nadie (ni corriente ni grupúsculo <strong>alguno</strong> dentro de CCOO), espero que los censores de la revista sean benévolos conmigo y me dejen publicar mi punto de vista, a sabiendas de la escasa repercusión interna a que están condenados de antemano mis planteamientos.","Pedro no dejó rastro alguno.","Otro",FALSE,FALSE
"reducido","Ahora bien, por añadidura, en el primer caso todo queda <strong>reducido</strong> a pasión, mientras que en el segundo no hay más que acción; conclusiones estas que no podemos considerar conformes con la experiencia vulgar, y que -como se verá- tampoco encajan en el conocimiento científico.","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"algunos","Porque no sólo se puede ser ingenuo en el análisis más o menos objetivo de la realidad, también (y sobre todo) donde más ingenuos somos es en las ""soluciones de andar por casa"" que planteamos a lo que <strong>algunos</strong> creen son problemas (y algunos ciertamente lo son).","Algunos dicen que murió ahogado.","Otro",FALSE,FALSE
"seguido","Esta oligarquía (no aristocracia, pues son pocos e ineptos) es, como José María mismo dice, una dictadura En lo que ya no estoy de acuerdo con él es en lo que dice acto <strong>seguido</strong>:","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
"sugiero","¿Por qué <strong>sugiero</strong> (y sólo sugiero) que se concibe mucho menos, en Iberoamérica, una capacidad política para encarnar una séptima generación de la Izquierda?","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"alguien","Pero como no hay Dios ni hay Felicidad, salvo que defendamos una filosofía de carácter metafísico, tampoco puede haber <strong>alguien</strong> denominado como sabio.","Alguien tendrá que limpiar este desastre. (no se sabe quién)","Carlos es alguien en quien confiar. (se sabe quién)",FALSE,FALSE
"podria","En todo caso, el posible apóstata, al menos, <strong>podria</strong> ampliar el campo del que renegar; no me refiero, claro, a trascender el individualismo infantil de la actual, sino a que no se podría como parecen querer muchos más que algunos simples apóstatas de bautismo recluir el campo de lo religioso en una parcelita de lo antropológico.","Esta ruta podría ser peligrosa. (posibilidad)","Yo podría imaginar un mundo sin violencia. (capacidad)",FALSE,FALSE
"suena","P.D.: esperemos que este verano los francese se hayan protegido contra el calor, no se habla mucho del tema pero eso de más de 10.000 víctimas <strong>suena</strong> francamente cutre, y no es por hacer leña del árbol caído.","Tu idea me suena bien. (juicio)","Las bocinas suenan demasiado fuerte. (sonido)",FALSE,FALSE
"algun","Al final va a resultar que hasta se le puede encontrar <strong>algun</strong> sentido a lo que dice el chalado, saliendo del entorno de su chaladura, claro está.","Algún lápiz habrá caído por la abertura.","Otro",FALSE,FALSE
"a veces","573), como aún hacen hoy los verdaderos-socialistas; sino que allí donde no hay entorno no hay cocotero...Pero a pesar de eso, el paso hasta la verdadera materialidad segundo genérica (M2) de las verdaderas ideas aunque <strong>a veces</strong> no sean ideas verdaderas, siendo ambas, las verdaderas y las falsas, en tanto ideas, materialidades verdaderas (M2), no lo dieron; y lo mismo con los productos teóricos de la conciencia en tanto se explayan como M3, incluyendo al mismo materialismo histórico en tanto teoría.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"entiendo","No sé si <strong>entiendo</strong> todo lo que nos quiere decir José Manuel, y tampoco nos aclara si considera que el manejo por parte del PSOE de una determinada &lt;&lt;dialéctica&gt;&gt; (de clases definidas según los distintos criterios más o menos pertinentes para el análisis político, lo cual puede implicar la pertenencia de un sujeto a distintas clases intersectadas) es acertado (prudente), o no, a medio y largo plazo.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"imagino","Me <strong>imagino</strong> que Pardo vería muy bien tal acción.","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"necesariamente","Quienes buscan el poder no están <strong>necesariamente</strong> libres de él, toda vez que buscan ser ellos los que impongan las reglas del juego.","No necesariamente lloverá esta tarde. (no se sabe con certidumbre)","La política está necesariamente conectada a la economía. (inevitablemente)",FALSE,FALSE
"casi","Hoy la gente sabe leer y escribir en <strong>casi</strong> un 100%, pero eso no significa que sean sabios en multitud de materias, incluidas las de gestión e iniciativa política (ocurre algo similar cuando se considera que la TV es una mera caja tonta y la lectura es siempre formadora de una ciudadanía responsable y libre, a pesar de la cantidad de bazofia que se publica).","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"puede","Y en cuanto a la influencia de cara al electorado ¿quien <strong>puede</strong> sopesarla?.","Esta ruta puede ser peligrosa. (posibilidad)","José puede entrar gratuitamente con su credencial de estudiante. (capacidad)",FALSE,FALSE
"mas o menos","No me tengo por un demócrata fundamentalista, pero aún y cuando la democracia tiene efectivamente grandes defectos que son <strong>mas o menos</strong> subsanados por los procesos eutaxicos y distaxicos del poder y del ejercicio político y del Estado o Unidad política, es sin embargo una iustificación hasta ahora inmejorable para la paz y la conformación del pueblo: saber que la no iustificación es la revolución y la guerra es no saber nada, por cuanto por ahora aquí no hay ni guerra ni revolución, sino justificación.","Me dijeron más o menos qué tengo que hacer. (poco específico)","Usa más o menos azúcar de acuerdo a tu gusto. (cantidad concreta)",FALSE,FALSE
"reducido","El articulo 10 que reconoce la dignidad, el derecho al ""libre desarrollo de la personalidad"" etc...es utilizado como ""principio"", pero <strong>reducido</strong> todo a la ""dignidad"".","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"a veces","2. La nave cuenta con una fuerza de seguridad, una Fuerza Armada que deberá <strong>a veces</strong> intervenir, una vez que el Gobierno de la nave haya determinado, en nombre de la prudencia política, el momento y el lugar oportunos de la intervención.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"creo","No se trata, <strong>creo</strong>, de negar sensibilidad o intelección a los brutos.","Yo creo que hay que esperar. (juicio)","Yo creo en la resurrección de Jesucristo. (creencia)",FALSE,FALSE
"multiples","Se han hecho <strong>multiples</strong> interpretaciones de la novela de Tolkien.","Tenemos múltiples servicios disponibles.","Otro",FALSE,FALSE
"sugiero","Si leemos el artículo de Malamud, veremos cómo nadie, ni siquiera Malamud( muy poco admirador de Chávez) sostiene que haya en territorio venezolano ""bases de la guerrilla colombiana en territorio venezolano"", como afirma Felipe en esta confusionista pregunta.Simplemente porque nadie ha aportado pruebas de acusación tan sumamente grave.Si Felipe las tiene, le <strong>sugiero</strong> que se las envíe a los responsables colombianos o de los EEUU para que puedan ""atacar"" con más datos verificados a Chávez en este asunto.Por lo tanto, no parece haber la tal ""imprudencia"" que Felipe achaca a Chávez en este aspecto de las supestas bases de entrenamiento de guerrillas en Venezuela.","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"hay quien","La serie demuestra, entre otras cosas, que en el mundo del espectáculo (y de la Cultura en general) la progresía ha copado muchos poderes, y en la misma TVE no <strong>hay quien</strong> haga programas menos sesgados o que, al menos, nos muestren otros puntos de vista (en Telecinco ya ni se cortan en insultar descaradamente a Aznar Manel Fuentes, por ejemplo-, pero esto es más comprensible sabiendo quién está detrás de dicha cadena).","Hay quien dice que murió ahogado.","Otro",FALSE,FALSE
"asumo","¡Claro que <strong>asumo</strong> las posiciones de El animal divino!","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"asumo","En primer lugar no sé si niega las tesis que yo <strong>asumo</strong> (tampoco explicita las contradicciones en las que, supuestamente, caigo):","Yo asumo que me darán un aumento. (posibilidad)","Yo asumo la posición de director. (acción)",FALSE,FALSE
"poco","Podrá la sociedad catalana no ser enteramente inocente, pero el programa separatista no se ha contado al pueblo de aquí tal y como el Pacto del Tinell ha sido (pacto que casi nadie conoce)... sino para acomodar una realidad muy española a este engendro de invento, para acomodarla y educarla poco a <strong>poco</strong>, dados los abismos abiertos de nuestra Constitución para así posibilitar el medro de las oligarquías regionales a costa de la Patria común.","Sería poco prudente hablarle de esa manera. (juicio)","Hay poco gente en el público. (cantidad concreta)",FALSE,FALSE
"varios","Creo que la respuesta de Agustín Lozano a <strong>varios</strong> de los mensajes aquí registrados ha dejado todavía más dudas de las que se planteaban.","Tenemos varios servicios disponibles.","Otro",FALSE,FALSE
"relativamente","Pero lo cierto es que nada es seguro con esa gentuza: es <strong>relativamente</strong> fácil violentar un foro de este tipo, pero más seguro que todo esto era el espacio aéreo neoyorquino y fíjate como acabó el 11 de septiembre de 2001.","Esto debería de ser relativamente sencillo.","Otro",FALSE,FALSE
"basicamente","Sobre todo la torpeza política de un hombre <strong>basicamente</strong> honrado y lúcido en la política exterior que más convenía a España.","La película es básicamente una parodia.","Otro",FALSE,FALSE
