_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hedge,orig_hedge,hedge_gold,sentence,usage1,usage2
513481634,7/30/2014 21:57:18,false,1338362669,,7/30/2014 21:54:29,false,clixsense,0.875,20874950,ARG,01,Munro,181.167.169.53,yes,relativamente,,"Si no me equivoco están basados en Miami, y se concentran en mercados latinos <strong>relativamente</strong> pequeños.",Esto debería de ser relativamente sencillo.,Otro
513481634,7/30/2014 22:01:51,false,1338366374,,7/30/2014 22:00:24,false,neodev,0.9231,18768786,ARG,01,Necochea,200.89.154.130,yes,relativamente,,"Si no me equivoco están basados en Miami, y se concentran en mercados latinos <strong>relativamente</strong> pequeños.",Esto debería de ser relativamente sencillo.,Otro
513481634,7/30/2014 22:02:36,false,1338366892,,7/30/2014 22:01:33,false,neodev,0.8889,28741632,CHL,01,Valparaiso,190.161.220.158,yes,relativamente,,"Si no me equivoco están basados en Miami, y se concentran en mercados latinos <strong>relativamente</strong> pequeños.",Esto debería de ser relativamente sencillo.,Otro
513481635,7/30/2014 22:20:50,false,1338382624,,7/30/2014 22:19:54,false,neodev,0.9231,18768786,ARG,01,Necochea,200.89.154.130,yes,alguien,,A <strong>alguien</strong> le paso algo similar?,Alguien tendrá que limpiar este desastre.,Yo soy alguien en quien confiar.
513481635,7/30/2014 22:58:01,false,1338408299,,7/30/2014 22:56:09,false,neodev,0.7619,11020476,ARG,01,Munro,186.138.219.195,yes,alguien,,A <strong>alguien</strong> le paso algo similar?,Alguien tendrá que limpiar este desastre.,Yo soy alguien en quien confiar.
513481635,7/30/2014 22:58:31,false,1338408731,,7/30/2014 22:56:51,false,prizeplank,0.8824,14442314,CHL,12,Santiago,179.8.146.191,yes,alguien,,A <strong>alguien</strong> le paso algo similar?,Alguien tendrá que limpiar este desastre.,Yo soy alguien en quien confiar.
513481636,7/30/2014 23:09:10,false,1338416022,,7/30/2014 23:07:55,false,neodev,0.9231,18768786,ARG,01,Necochea,200.89.154.130,yes,frecuentemente,,"-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que <strong>frecuentemente</strong> sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...",Mis padres me visitan frecuentemente.,Otro
513481636,7/30/2014 23:14:26,false,1338419022,,7/30/2014 23:11:58,false,neodev,0.7619,11020476,ARG,01,Munro,186.138.219.195,yes,frecuentemente,,"-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que <strong>frecuentemente</strong> sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...",Mis padres me visitan frecuentemente.,Otro
513481636,7/30/2014 23:15:00,false,1338419370,,7/30/2014 23:10:18,false,neodev,0.8,21698983,ECU,10,Guayaquil,190.130.158.68,no,frecuentemente,,"-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que <strong>frecuentemente</strong> sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...",Mis padres me visitan frecuentemente.,Otro
513481637,7/30/2014 23:06:25,false,1338414070,,7/30/2014 23:04:19,false,neodev,0.9231,18768786,ARG,01,Necochea,200.89.154.130,no,siento,,"No, lo <strong>siento</strong>, tú eres una sabandija y tendrás el destino de las sabandijas.",Siento que podríamos trabajar más a fondo.,Siento un dolor fuerte en el estómago.
