segment	proposition	belief_type
Si no me equivoco están basados en Miami, y se concentran en mercados latinos [relativamente] pequeños.	relativamente	HPROP
A [alguien] le paso algo similar?	alguien	HPROP
-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que [frecuentemente] sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...	frecuentemente	HPROP
No, lo [siento], tú eres una sabandija y tendrás el destino de las sabandijas.	siento	HREL
Buena gesta la de este soldado [sin duda], gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...	sin duda	HREL
Pero quizá, en una novela posterior incluyó a Carlos Espa, [quien sabe]...	quien sabe	HREL
La pista es PESCCP&gt;  &gt;..............&lt;El secreto estaba en los Escolios II y III [principalmente], situados en las páginas 184 y 189 respectivamente del PESCCP, y muy en concreto las páginas 190, 191, etcétera.	principalmente	HPROP
Pero, hasta el momento, no se ha comprobado su participación directa en los crímenes perpetrados por sus novios sicarios Por esta razón, el jefe de la Policía de La Libertad, coronel PNP Roger Torres Mendoza, indicó que en el teléfono móvil de Gringasha, se leen mensajes en los que [aparentemente] se dan cuenta sobre presuntos actos delictivos, información que ya está en manos de la Fiscalía y se espera la decisión que tomen respecto de estos mensajes.	aparentemente	HPROP
no mi Galvan [rara vez] yo tomo cerveza mexa aca muy rara ni siquiera negra modelo, pero la semana pasada la niora pues me compro un seisito de corona y pues ni modo de decirle que no	rara vez	HPROP
"El obispo afirma que en la televisión sueca se limitó a dar ""una opinión de una persona que no es historiador, una opinión formada hace 20 años en virtud de los datos que entonces estaban disponibles, y que desde entonces había expresado [raramente] en público""."	raramente	HPROP
* Este artículo traduce en [gran parte] el correspondiente en inglés: [[1]]	gran parte	HPROP
DISTRIBUIDORA MARESO, opora en trujillo y [generalmente] solicita personal a nombre de otras empresas reconocidas (solicita con el interes de robar dinero?	generalmente	HPROP
El color rubio platino es [practicamente] exclusivo del fenotipo Nordico  Si algunos se pintan el pelo de otro color como negro, azul, rosado, entre otros pero son muy pocos	practicamente	HPROP
Compara a esas marcas pero en vehículos del mismo segmento por ejemplo entre los que tengan motores de 1.6 litros [por decir algo].	por decir algo	HPROP
uff pues de plano no, pero si nos referimos a cometer ese acto de infidelidad pues no es un mito... debe de haber hombres fieles, mas me imagino que en un numero muy muy [reducido], digamos un 1% fiel contra un 99% infiel ?	reducido	HPROP
[deberia] de haber un Torneo de eliminacion directa ida y vuelta... seria chido que resuciten la Copa INKA	deberia	HREL
Suena bonito ¿no? pero lamentablemente solo [suena] bonito...ya que no es cierto.	suena	HREL
Y [a veces] aunke no logico te gana le sentimiento al pensar y dejas la razon a un lado, no por justificarlo tampoco...	a veces	HPROP
Para sobrevivir una persona necesita sustentar las necesidades básicas de alimentación, salud, vestido y salubridad, el 80% de la población peruana no puede sustentar sus necesidades básicas o lo hace [parcialmente], por lo que se dividen entre la pobreza y extrema pobreza.	parcialmente	HPROP
Si tomas un carro de fiori esta [mas o menos] 40 soles (en fecha de no fiesta) y para fiestas patrias sube hasta 100 soles.	mas o menos	HPROP
